SKU,Brand,Product,Size,Price,MarketPlace,Drop It,Miles,Pronto,HH
4800121348,HELLMANN,REAL MAYONNAISE,30 OZ,9.99,https://www.marketplace.bm/shop/grocery/mayonnaise_miracle_whip/hellmann_s_real_mayonnaise_30_fl_oz/p/32968,https://www.dropit.bm/shop/pantry/condiments_sauces_marinades/condiments/mayonnaise/hellmann_s_real_mayonnaise_30_fl_oz/p/32968,https://shop.miles.bm/shop/pantry/condiments_sauces_marinades/condiments/mayonnaise/hellmann_s_real_mayonnaise_30_fl_oz/p/32968,https://pronto.bm/product/hellmanns-real-mayonnaise-30-oz,https://www.harringtonhundreds.bm/shop/grocery/mayonnaise_miracle_whip/hellmann_s_real_mayonnaise_30_fl_oz/p/32968
4053,SUNKIST,LEMON CHOICE,1 CT,1.09,https://www.marketplace.bm/shop/produce/citrus/lemons_large/p/12429,https://www.dropit.bm/shop/produce/fresh_fruit/citrus/lemon/p/1564405684690088162,https://shop.miles.bm/shop/produce/fresh_fruit/citrus/lemons/p/12429,https://pronto.bm/product/lemon-1-ct,https://www.harringtonhundreds.bm/shop/produce/citrus/sunkist_lemons/p/1564405684714598190
7114010130,GEISHA,TUNA SOLID WHITE WATER,12.5 OZ,8.89,https://www.marketplace.bm/shop/grocery/fish_canned/geisha_white_meat_tuna_in_water/p/3013679,https://www.dropit.bm/shop/pantry/canned_goods_soups_broths/canned_tuna_seafood/geisha_tuna_white_in_water/p/3013679,https://shop.miles.bm/shop/pantry/canned_goods_soups_broths/canned_tuna_seafood/geisha_tuna_in_water/p/3013679,https://pronto.bm/product/geisha-solid-white-tuna-in-water-12-oz,https://www.harringtonhundreds.bm/shop/grocery/fish_canned/geisha_geisha_tuna_solid_wht_wtr/p/3013679
4799,,TOMATO BEEFSTEAK,LB,4.99,https://www.marketplace.bm/shop/produce/tomatoes/tomatoes_hot_house/p/12571,https://www.dropit.bm/shop/produce/fresh_vegetables/tomatoes/tomatoes_beefsteak/p/7136002,N/A,https://pronto.bm/product/tomatoes-1-lb,https://www.harringtonhundreds.bm/shop/produce/tomatoes/tomatoes_hot_house/p/12571
560116301111,LUSO,WATER 5.4L,5.4L,9.69,https://www.marketplace.bm/shop/grocery/water/luso_water_5_4_l/p/1564405684704454707,https://www.dropit.bm/shop/pantry/beverages/water/luso_5_4_lt/p/1564405684704454707,N/A,https://pronto.bm/product/luso-natural-spring-water-54-l,https://www.harringtonhundreds.bm/shop/grocery/water/luso_water_5_4_l/p/1564405684704454707
506011464083,BERMUDA'S BEST,EVAPORATED MILK,12 OZ,2.09,https://www.marketplace.bm/shop/grocery/milk_cans_evaporated_condensed/bermuda_s_best_evaporated_milk/p/1564405684704454548,https://www.dropit.bm/shop/dairy/milk_cream/milk/canned/bermuda_s_best_evaporated_milk/p/1564405684704454548,N/A,https://pronto.bm/product/bermudas-best-evaporated-milk-12-oz,https://www.harringtonhundreds.bm/shop/grocery/milk_cans_evaporated_condensed/bermuda_s_best_evaporated_milk/p/1564405684704454548
7225004919,NATURES OWN,BUTTER BREAD,20 OZ,7.89,https://www.marketplace.bm/shop/grocery/bread_rolls/nature_s_own_enriched_butterbread_20_oz/p/40260,https://www.dropit.bm/shop/bakery/breads_from_the_aisle/nature_s_own_ff_product_code_1520_20_oz/p/40260,https://shop.miles.bm/shop/bakery/breads_from_the_aisle/nature_s_own_butterbread_20_oz/p/40260,https://pronto.bm/product/natures-own-butterbread-20-oz,https://www.harringtonhundreds.bm/shop/grocery/bread_rolls/nature_s_own_butterbread_20_oz/p/40260
4664,,TOMATOES CLUSTER RED,1 LB,4.29,https://www.marketplace.bm/shop/produce/tomatoes/tomatoes_on_the_vine/p/2311660,https://www.dropit.bm/shop/produce/fresh_vegetables/tomatoes/tomatoes_on_the_vine/p/2311660,https://shop.miles.bm/shop/produce/fresh_vegetables/tomatoes/tomatoes_on_the_vine/p/2311660,https://pronto.bm/product/tomatoes-on-vine-local,https://www.harringtonhundreds.bm/shop/produce/tomatoes/tomatoes_on_the_vine/p/2311660
5400020042,SCOTT,BATHROOM TISSUE SINGLE ROLL,104.8 FT,1.99,https://www.marketplace.bm/shop/grocery/toilet_tissue/scott_1000_toilet_paper_1_roll_septic_safe_1_ply_toilet_tissue/p/35351,https://www.dropit.bm/shop/pantry/household/paper_plastic/toilet_paper/scott_bathroom_tissue_unscented_one_ply_1_ea/p/35351,https://shop.miles.bm/shop/pantry/household/paper_plastic/toilet_paper/scott_1000_toilet_paper_1_roll_septic_safe_1_ply_toilet_tissue/p/35351,https://pronto.bm/product/scott-bathroom-tissue-1000-sheets-per-roll-1-ct,https://www.harringtonhundreds.bm/shop/grocery/toilet_tissue/scott_bathroom_tissue_unscented_one_ply_1_ea/p/35351
3616,,ENVY APPLES,EA,2.69,https://www.marketplace.bm/shop/produce/apples/envy_apples/p/2310710,https://www.dropit.bm/shop/produce/fresh_fruit/apples/apples_envy/p/2310922,https://shop.miles.bm/shop/produce/fresh_fruit/apples/apple_envy/p/2310922,N/A,https://www.harringtonhundreds.bm/shop/produce/apples/envy_apples/p/2310922
