Product,MP,Drop It,Miles,Pronto,HH
BANANAS,https://www.marketplace.bm/shop/produce/tropical/yellow_bananas/p/12413,https://www.dropit.bm/shop/produce/fresh_fruit/bananas_plantains/bananas_imported/p/1564405684689979256,https://shop.miles.bm/shop/produce/fresh_fruit/bananas_plantains/bananas/p/12413,https://pronto.bm/product/bananas-imported-1lb,https://www.harringtonhundreds.bm/shop/produce/tropical/yellow_bananas/p/12413
AVOCADO_HASS,https://www.marketplace.bm/shop/produce/tropical_fruit/green_avocados_large/p/78563,https://www.dropit.bm/shop/produce/fresh_vegetables/avocados/avocado_haas/p/7178511,https://shop.miles.bm/shop/produce/fresh_vegetables/avocados/avocados_imp_small/p/12467,https://pronto.bm/product/avocados-1-ct,https://www.harringtonhundreds.bm/shop/produce/tropical/avocados_hass_green/p/1564405684714598205
STRAWBERRIES,https://www.marketplace.bm/shop/produce/berries/strawberries_pint/p/2311226,https://www.dropit.bm/shop/produce/fresh_fruit/berries_cherries/driscoll_s_strawberries_fresh_16_oz/p/147301,https://shop.miles.bm/shop/produce/fresh_fruit/berries_cherries/driscoll_s_strawberries/p/147301,https://pronto.bm/product/strawberries-driscolls-16-oz,https://www.harringtonhundreds.bm/shop/produce/berries/foxy_berries_strawberries/p/1564405684714598181
GRAPES_GREEN,https://www.marketplace.bm/shop/produce/grapes/white_green_seedless_grapes/p/2311218,https://www.dropit.bm/shop/produce/fresh_fruit/grapes/grapes_green/p/7303673,https://shop.miles.bm/shop/produce/fresh_fruit/grapes/white_green_seedless_grapes/p/2311218,https://pronto.bm/product/grapes-green-seedless-1-lb,https://www.harringtonhundreds.bm/shop/produce/grapes/white_green_seedless_grapes/p/2311218
MILK_HALF_GALLON,https://www.marketplace.bm/shop/dairy/milk_milk_products/dunkleys_dunkley_s_fresh_milk_1_2_ga/p/1564405684704421332,https://www.dropit.bm/shop/dairy/milk_cream/milk/dunkleys_milk_fresh_1_2_gallon/p/1564405684704421332,https://shop.miles.bm/shop/dairy/milk_cream/milk/dunkley_s_homogenized_milk/p/1564405684704421332,https://pronto.bm/product/dunkleys-fresh-milk-64-oz,https://www.harringtonhundreds.bm/shop/dairy/milk_milk_products/dunkleys_dunkley_s_fresh_milk_1_2_ga/p/1564405684704421332
BLUEBERRIES,https://www.marketplace.bm/shop/produce/berries/blueberries/p/2210971,https://www.dropit.bm/shop/produce/fresh_fruit/berries_cherries/driscoll_s_blueberries_fresh_blueberries_conventional_1_pt/p/147306,https://shop.miles.bm/shop/produce/fresh_fruit/berries_cherries/driscoll_s_blueberries/p/147306,https://pronto.bm/product/blueberries-16-oz,https://www.harringtonhundreds.bm/shop/produce/berries/driscolls_blueberries/p/1564405684714598208
MANDARINS,https://www.marketplace.bm/shop/produce/citrus/vintage_sweets_oranges_1_ea/p/6063813,https://www.dropit.bm/shop/produce/fresh_fruit/citrus/halos_pure_goodness_mandarins_california/p/128856,https://shop.miles.bm/shop/produce/fresh_fruit/citrus/halo_mandarin_oranges/p/128856,https://pronto.bm/product/mandarins-3-lb-halos,https://www.harringtonhundreds.bm/shop/produce/citrus/clementines/p/1564405684714598172
BROCCOLI,https://www.marketplace.bm/shop/produce/greens_vegetables/broccoli_crowns/p/77935,https://www.dropit.bm/shop/produce/fresh_vegetables/broccoli_cauliflower/broccoli_crowns/p/1564405684689837509,https://shop.miles.bm/shop/produce/fresh_vegetables/broccoli_cauliflower/broccoli/p/2311257,https://pronto.bm/product/broccoli-15-lb,https://www.harringtonhundreds.bm/shop/produce/greens_vegetables/broccolini/p/1564405684714598192
CARROTS,https://www.marketplace.bm/shop/produce/carrots/carrots/p/193517,https://www.dropit.bm/shop/produce/fresh_vegetables/carrots_beets/carrots_bag/p/1564405684705297747,https://shop.miles.bm/shop/produce/fresh_vegetables/carrots_beets/bunch_carrots/p/12451,https://pronto.bm/product/carrots-local-fresh-2-lb,https://www.harringtonhundreds.bm/shop/produce/greens_vegetables/local_carrots/p/193517
EGGS_18_PACK,https://www.marketplace.bm/shop/dairy/eggs/eggland_s_best_eggs_large_18_ea/p/54279,N/A,N/A,N/A,https://www.harringtonhundreds.bm/shop/dairy/eggs/eggland_s_best_eggs_large_18_ea/p/54279
GRAPES_RED,https://www.marketplace.bm/shop/produce/tbd_new_item_category/red_seedless_grapes/p/12419,https://www.dropit.bm/shop/produce/fresh_fruit/grapes/grapes_red/p/7997419,https://shop.miles.bm/shop/produce/fresh_fruit/grapes/red_seedless_grapes/p/12419,https://pronto.bm/product/grapes-red-seedless-1-lb,https://www.harringtonhundreds.bm/shop/produce/grapes/grapes_red_seedless/p/1564405684714598179
APPLES_GALA,https://www.marketplace.bm/shop/stemilt_apples_gala_3_lb/p/2450258,https://www.dropit.bm/shop/produce/fresh_fruit/apples/stemilt_apples_gala_3_lb/p/2450258,N/A,https://pronto.bm/product/apples-lil-snappers-gala-3-lb,https://www.harringtonhundreds.bm/shop/produce/apples/lil_snappers_lil_s_apples_pink_lady/p/1764405684714888362
BREAD_HONEY_WHEAT,https://www.marketplace.bm/shop/grocery/bread_rolls/nature_s_own_hny_whe_20_oz_20_oz/p/40258,https://www.dropit.bm/shop/bakery/breads_from_the_aisle/nature_s_own_hny_whe_20_oz_20_oz/p/40258,https://shop.miles.bm/shop/bakery/breads_from_the_aisle/multi_grain_whole_wheat_bread/nature_s_own_hny_whe_20_oz_20_oz/p/40258,https://pronto.bm/product/natures-own-honey-wheat-bread-20-oz,https://www.harringtonhundreds.bm/shop/grocery/bread_rolls/nature_s_own_hny_whe_20_oz_20_oz/p/40258
EGGS_BROWN,https://www.marketplace.bm/shop/dairy/eggs/dunkley_s_imported_brown_eggs/p/2472766,https://www.dropit.bm/shop/dairy/eggs/farm_fresh_noahs_pride_large_brown_cage_free_eggs/p/1564405684703318618,https://shop.miles.bm/shop/dairy/eggs/dunkley_s_eggs_gr_a_lrg_brown/p/2472766,https://pronto.bm/product/dunkleys-large-brown-eggs-12-ct,https://www.harringtonhundreds.bm/shop/dairy/eggs/dunkley_s_imported_brown_eggs/p/2472766
CODFISH,https://www.marketplace.bm/shop/meat/fish_salted/oceans_finest_codfish/p/1564405684704454557,https://www.dropit.bm/shop/seafood/bermuda_s_best_codfish/p/1564405684704429931,N/A,https://pronto.bm/product/gonsalves-codfish-portuguese-style-42-oz,https://www.harringtonhundreds.bm/shop/meat/fish_salted/oceans_finest_codfish/p/1564405684704454557
SUGAR,https://www.marketplace.bm/shop/grocery/sugar/domino_sugar_granulated_premium_pure_cane_4_lb/p/33409,https://www.dropit.bm/shop/pantry/cooking_baking_needs/sugars_sweeteners/domino_sugar_granulated_premium_pure_cane_4_lb/p/33409,https://shop.miles.bm/shop/pantry/cooking_baking_needs/sugars_sweeteners/domino_sugar_granulated_premium_pure_cane_4_lb/p/33409,https://pronto.bm/product/domino-granulated-sugar-4-lb,https://www.harringtonhundreds.bm/shop/grocery/sugar/domino_sugar_granulated_premium_pure_cane_4_lb/p/33409
