product_name,store,url,price,method,timestamp
HELLMANN REAL MAYONNAISE,Drop It,https://www.dropit.bm/shop/pantry/condiments_sauces_marinades/condiments/mayonnaise/hellmann_s_real_mayonnaise_30_fl_oz/p/32968,11.69,Regex,1752062228.815866
HELLMANN REAL MAYONNAISE,Miles,https://shop.miles.bm/shop/pantry/condiments_sauces_marinades/condiments/mayonnaise/hellmann_s_real_mayonnaise_30_fl_oz/p/32968,12.15,Regex,1752062235.3442738
HELLMANN REAL MAYONNAISE,Pronto,https://pronto.bm/product/hellmanns-real-mayonnaise-30-oz,11.19,Regex,1752062240.774894
HELLMANN REAL MAYONNAISE,HH,https://www.harringtonhundreds.bm/shop/grocery/mayonnaise_miracle_whip/hellmann_s_real_mayonnaise_30_fl_oz/p/32968,9.99,Regex,1752062246.965984
SUNKIST LEMON CHOICE,Drop It,https://www.dropit.bm/shop/produce/fresh_fruit/citrus/lemon/p/1564405684690088162,1.39,Regex,1752062254.1979468
SUNKIST LEMON CHOICE,Miles,https://shop.miles.bm/shop/produce/fresh_fruit/citrus/lemons/p/12429,1.75,Regex,1752062261.544884
SUNKIST LEMON CHOICE,Pronto,https://pronto.bm/product/lemon-1-ct,1.35,Regex,1752062266.258465
SUNKIST LEMON CHOICE,HH,https://www.harringtonhundreds.bm/shop/produce/citrus/sunkist_lemons/p/1564405684714598190,1.09,Regex,1752062273.473523
GEISHA TUNA SOLID WHITE WATER,Drop It,https://www.dropit.bm/shop/pantry/canned_goods_soups_broths/canned_tuna_seafood/geisha_tuna_white_in_water/p/3013679,9.49,Regex,1752062280.389778
GEISHA TUNA SOLID WHITE WATER,Miles,https://shop.miles.bm/shop/pantry/canned_goods_soups_broths/canned_tuna_seafood/geisha_tuna_in_water/p/3013679,9.95,Regex,1752062285.5043762
GEISHA TUNA SOLID WHITE WATER,Pronto,https://pronto.bm/product/geisha-solid-white-tuna-in-water-12-oz,9.09,Regex,1752062289.958548
GEISHA TUNA SOLID WHITE WATER,HH,https://www.harringtonhundreds.bm/shop/grocery/fish_canned/geisha_geisha_tuna_solid_wht_wtr/p/3013679,8.89,Regex,1752062294.8984342
TOMATO BEEFSTEAK,Drop It,https://www.dropit.bm/shop/produce/fresh_vegetables/tomatoes/tomatoes_beefsteak/p/7136002,4.39,Regex,1752062300.627009
TOMATO BEEFSTEAK,Pronto,https://pronto.bm/product/tomatoes-1-lb,2.99,Regex,1752062305.668697
TOMATO BEEFSTEAK,HH,https://www.harringtonhundreds.bm/shop/produce/tomatoes/tomatoes_hot_house/p/12571,4.99,Regex,1752062312.5746088
LUSO WATER 5.4L,Drop It,https://www.dropit.bm/shop/pantry/beverages/water/luso_5_4_lt/p/1564405684704454707,9.59,Regex,1752062318.458792
LUSO WATER 5.4L,Pronto,https://pronto.bm/product/luso-natural-spring-water-54-l,10.05,Regex,1752062323.0923991
LUSO WATER 5.4L,HH,https://www.harringtonhundreds.bm/shop/grocery/water/luso_water_5_4_l/p/1564405684704454707,9.69,Regex,1752062329.482495
BERMUDA'S BEST EVAPORATED MILK,Drop It,https://www.dropit.bm/shop/dairy/milk_cream/milk/canned/bermuda_s_best_evaporated_milk/p/1564405684704454548,2.19,Regex,1752062336.676189
BERMUDA'S BEST EVAPORATED MILK,Pronto,https://pronto.bm/product/bermudas-best-evaporated-milk-12-oz,2.15,Regex,1752062342.5679638
BERMUDA'S BEST EVAPORATED MILK,HH,https://www.harringtonhundreds.bm/shop/grocery/milk_cans_evaporated_condensed/bermuda_s_best_evaporated_milk/p/1564405684704454548,2.09,Regex,1752062348.921351
NATURES OWN BUTTER BREAD,Drop It,https://www.dropit.bm/shop/bakery/breads_from_the_aisle/nature_s_own_ff_product_code_1520_20_oz/p/40260,8.59,Regex,1752062353.982291
NATURES OWN BUTTER BREAD,Miles,https://shop.miles.bm/shop/bakery/breads_from_the_aisle/nature_s_own_butterbread_20_oz/p/40260,8.6,Regex,1752062359.437441
NATURES OWN BUTTER BREAD,Pronto,https://pronto.bm/product/natures-own-butterbread-20-oz,7.89,Regex,1752062363.652703
NATURES OWN BUTTER BREAD,HH,https://www.harringtonhundreds.bm/shop/grocery/bread_rolls/nature_s_own_butterbread_20_oz/p/40260,7.89,Regex,1752062369.01859
